id,citation,title,year,journal,pmid,doi,modality,population,n,exposure_time_definition,outcomes,seasonality_effect,adjustments,study_design,full_text_status,pdf_filename,notes
A18,"Narita K, et al. Hypertension. 2022.",Seasonal Variation in Day-by-Day Home Blood Pressure Variability and Effect on Cardiovascular Disease Incidence.,2022,Hypertension,35770661,10.1161/HYPERTENSIONAHA.122.19494,Home BP monitoring,Large adult cohort,,Seasonal home BP monitoring,Day-by-day BP variability and CVD incidence,Seasonal BP variability affects cardiovascular risk interpretation,,Prospective cohort study,metadata_only,,Indirect risk-related evidence
A19,"Mete T, et al. ESC Heart Fail. 2019.",Impact of environmental factors on heart failure decompensations.,2019,ESC heart failure,31483570,10.1002/ehf2.12506,Review / clinical epidemiology,Heart failure literature,,Environmental exposures and seasons,HF decompensation triggers,Environmental and seasonal exposures plausibly contribute to HF decompensation,,Narrative review,retrieved_open_access,A19_Mete_T_et_al_2019_Impact_of_environmental_factors_on_heart_failure_decompensations.pdf,Useful review for discussion
A20,"Zareba W, et al. Pacing Clin Electrophysiol. 2020.",Circadian variation and seasonal distribution of implantable defibrillator detected new onset atrial fibrillation.,2020,Pacing and clinical electrophysiology,32579238,10.1111/pace.13995,Implantable device monitoring,Heart failure patients with ICDs,1309,Seasonal distribution,New-onset atrial fibrillation,AF detections show seasonal distribution,,Device cohort study,metadata_only,,Indirect rhythm evidence
A21,"Muller JE, et al. Chronobiol Int. 1991.","Circadian, weekly, and seasonal variations in cardiac mortality, blood pressure, and catecholamine excretion.",1991,Chronobiology international,1797411,10.3109/07420529109059165,"Mortality, BP, catecholamines",Elderly supervised cohort,86,Calendar time across year,"Cardiac mortality, BP, catecholamines",Cardiac mortality and BP exhibit circannual variation,,Chronobiology cohort study,metadata_only,,Classic chronobiology evidence
A22,"Alencar AP, et al. PLoS One. 2018.",Increased hospitalizations for decompensated heart failure and acute myocardial infarction during mild winters: A seven-year experience in the public health system of the largest city in Latin America.,2018,PloS one,29300764,10.1371/journal.pone.0190733,Public health database,HF and AMI hospitalizations in São Paulo,,Season and winter severity,HF and AMI hospitalization,Mild winters still associated with increased hospitalizations,,Retrospective ecological study,retrieved_open_access,A22_Alencar_AP_et_al_2018_Increased_hospitalizations_for_decompensated_heart_failure_and_acute_myocardial_infarction_during_mild_winters_A_seven_y.pdf,Useful for climate-context discussion
A23,"Kobayashi M, et al. Circ J. 2015.",Clinical scenario 1 is associated with winter onset of acute heart failure.,2015,Circulation journal,25421314,10.1253/circj.CJ-14-0710,Acute HF clinical cohort,Hospitalized acute HF patients,582,Winter versus other seasons,Clinical scenario classification at AHF onset,Winter onset enriched for specific acute HF scenario phenotype,,Hospital cohort study,metadata_only,,Indirect but clinically nuanced
A24,"Sato N, et al. Int J Cardiol. 2020.",Prevalence and seasonal variation of precipitants of heart failure hospitalization and risk of readmission.,2020,International journal of cardiology,32360644,10.1016/j.ijcard.2020.04.084,HF registry / hospitalization data,Patients hospitalized with HF,6918,Season of hospitalization,HF precipitants and readmission risk,Precipitants vary seasonally and influence readmission patterns,,Registry cohort study,metadata_only,,Indirect but useful for mechanisms
A25,"Bhatia S, et al. Heart Fail Clin. 2017.",Seasonal Periodicity of Ischemic Heart Disease and Heart Failure.,2017,Heart failure clinics,28865777,10.1016/j.hfc.2017.05.004,Review,Ischemic heart disease and heart failure literature,,Seasonal periodicity,Clinical events and mechanisms,Summarizes winter excess and proposed environmental and biologic mechanisms,,Narrative review,metadata_only,,Good background review
A26,"Ishikuro M, et al. Clin Exp Hypertens. 2012.",Daily serial hemodynamic data during pregnancy and seasonal variation: the BOSHI study.,2012,Clinical and experimental hypertension,22578087,10.3109/10641963.2012.681086,Home BP/HR derived hemodynamics,Normal pregnant women,425,Daily serial measurements across gestation and seasons,"HR, shock index, double product, BP",Seasonal variation seen in serial hemodynamic indices,,Longitudinal physiology study,metadata_only,,Indirect cardiac output-related evidence
A27,"Cicero AFG, et al. PLoS One. 2017.",Impact of seasonality and air pollutants on carotid-femoral pulse wave velocity and wave reflection in hypertensive patients.,2017,PloS one,28231259,10.1371/journal.pone.0172550,Pulse wave analysis,Hypertensive adults,731,"Hours of light, temperature, pollutants",PWV and wave reflection,Seasonality and environment affect arterial stiffness metrics,,Observational vascular study,retrieved_open_access,A27_Cicero_AFG_et_al_2017_Impact_of_seasonality_and_air_pollutants_on_carotid_femoral_pulse_wave_velocity_and_wave_reflection_in_hypertensive_pati.pdf,Indirect vascular evidence
A28,"Mancia G, et al. J Hypertens. 1998.",Seasonal variations in home and ambulatory blood pressure in the PAMELA population. Pressione Arteriose Monitorate E Loro Associazioni.,1998,Journal of hypertension,9856358,10.1097/00004872-199816110-00004,Home and ambulatory BP,General population,2051,Seasonal comparison,"Clinic, home, ambulatory BP and HR","BP values vary by season, with winter elevation",,Population observational study,metadata_only,,Seminal background paper
A29,"Mazzanti A, et al. Int J Environ Res Public Health. 2023.",Circadian and Seasonal Pattern of Arrhythmic Events in Arrhythmogenic Cardiomyopathy Patients.,2023,International journal of environmental research and public health,36833593,10.3390/ijerph20042872,ICD / arrhythmia monitoring,ARVC patients with ICD,102,Season of event,Ventricular arrhythmia occurrence,Arrhythmic events show seasonal pattern,,Device cohort study,retrieved_open_access,A29_Mazzanti_A_et_al_2023_Circadian_and_Seasonal_Pattern_of_Arrhythmic_Events_in_Arrhythmogenic_Cardiomyopathy_Patients.pdf,Indirect rhythm evidence
