id,citation,title,year,journal_or_book,pmid,doi,method_class,data_setting,key_idea,assumptions,strengths,limitations,applicability_to_irregular_cardiac_mri,notes
M14,"Torrence C, Compo GP. Bull Amer Meteor Soc. 1998.","A practical guide to wavelet analysis.",1998,"Bulletin of the American Meteorological Society",,,"Wavelet analysis","Signals whose periodicity may vary over time","Time-frequency decomposition for nonstationary periodic signals","Local oscillatory structure","Useful if seasonal amplitude changes across years","More complex and less interpretable as primary clinical test","Partial","Good sensitivity-analysis option"
M15,"Cleveland RB, Cleveland WS, McRae JE, Terpenning I. J Off Stat. 1990.","STL: A Seasonal-Trend Decomposition Procedure Based on Loess.",1990,"Journal of Official Statistics",,,"STL decomposition","Regularly spaced time series","Separate trend, seasonal, remainder components with robust loess","Regular spacing after aggregation/binning","Flexible seasonal shape, strong exploratory tool","Needs regular spacing or preprocessing","No/after preprocessing","Useful for exploratory monthly summaries"
M16,"Hyndman RJ, Athanasopoulos G. Forecasting: Principles and Practice.","Forecasting: Principles and Practice.",2021,"Book",,,"Fourier terms / forecasting toolbox","Regular seasonal series","Practical seasonal modeling using Fourier terms and state-space forecasting","Typically regular intervals","Practical toolbox for seasonal terms","Inference for subject-level phenotypes is not the main focus","Partial","Helpful for Fourier-term modeling intuition"
M17,"De Livera AM, Hyndman RJ, Snyder RD. JASA. 2011.","Forecasting time series with complex seasonal patterns using exponential smoothing.",2011,"Journal of the American Statistical Association",,,"TBATS / complex seasonality","Complex seasonal time series","Model multiple/complex seasonal cycles","Regularly spaced series","Handles multiple seasonalities","Forecasting-oriented and prefers regular spacing","No/after preprocessing","Lower priority for your main analysis"
M18,"Wood SN. 2017.","Generalized Additive Models: An Introduction with R.",2017,"Book",,,"GAM with cyclic smooths","Regression with nonlinear seasonal effects","Use cyclic smooths of day-of-year with covariate adjustment","Smoothness assumptions and basis choice","Excellent for nonlinear seasonality, covariates, and interactions","Needs careful smoothing/inference choices","Yes","Top sensitivity-analysis framework"
M19,"Hastie T, Tibshirani R. 1990.","Generalized Additive Models.",1990,"Book",,,"GAM foundation","Semiparametric regression","Flexible additive structure including smooth seasonal effects","Additivity and smoothing assumptions","Foundational semiparametric approach","Older reference, less implementation detail than Wood","Yes","Foundational GAM citation"
M20,"Harvey AC. 1989.","Forecasting, Structural Time Series Models and the Kalman Filter.",1989,"Book",,,"Structural time-series / state-space","Series with latent trend and seasonality","Model seasonal pattern as latent state","State-space model assumptions","Elegant handling of missingness and evolving seasonal structure","More complex and less transparent than harmonic regression","Yes","Strong advanced alternative"
M21,"Durbin J, Koopman SJ. 2012.","Time Series Analysis by State Space Methods.",2012,"Book",,,"State-space methods","Observed data with latent temporal states","Kalman filter / smoother for seasonal components and irregular observation structures","Model-based latent structure","Powerful and extensible","Technically heavy","Yes","Good advanced reference"
M22,"Box GEP, Jenkins GM, Reinsel GC, Ljung GM.","Time Series Analysis: Forecasting and Control.",2015,"Book",,,"Seasonal ARIMA","Regular interval time series","Model autocorrelation and seasonality through differencing and ARIMA terms","Regular spacing and stationarity after transforms","Classic time-series framework","Poor fit to irregular patient-level visit dates","No","Useful mostly for aggregated monthly summaries"
M23,"Ghysels E, Osborn DR. 2001.","The Econometric Analysis of Seasonal Time Series.",2001,"Book",,,"Seasonal econometrics","Regular seasonal time series","Formal theory for seasonal structure, tests, and transformations","Often regular spacing","Strong theory on seasonal processes and testing","Much of the machinery targets macroeconomic series","Partial","Background theory for seasonal inference"
M24,"Edwards JH; Walter SD & Elwood JM; Stolwijk AM et al. Various.","Classical event-seasonality tests.",1975,"Method family",,,"Event-date seasonality tests","Case/event timing data","Use circular/harmonic tests on dates of events","Events rather than continuous phenotypes","Simple null-hypothesis tests for seasonality","Not suitable as sole analysis for MRI phenotypes","Partial","Useful if deriving threshold-defined events"
