pmid,year,journal,doi,title,abstract
32340688,2020,Journal of the American Academy of Child and Adolescent Psychiatry,10.1016/j.jaac.2019.09.029,A Case of Clinical Scholarship.,"A 32-year-old child and adolescent psychiatry resident with a history of presenting an abstract at a local psychiatric conference during residency and fourth authorship on an immunotherapy paper from a summer internship during medical school presents with a new-onset desire to write a case report. She has just come off her consultation liaison rotation, during which she consulted on a 12-year-old boy with attention-deficit/hyperactivity disorder, oppositional defiant disorder, disruptive mood dysregulation disorder, and low depressive state hospitalized for pseudoseizures, a new-onset inability to walk, and aggressive outbursts. He had a negative magnetic resonance imaging scan, negative computed tomography scan, negative laboratory test results, and an unremarkable lumbar puncture. Based on an equivocal electroencephalogram, a neurology resident decided to prescribe a mood stabilizer, obtained it himself from the pharmacy, and administered it to the patient intravenously, only then realizing that it was six times the intended loading dose. Before anybody could stop him, the resident erased all documentation about the medication and fled the city. Nevertheless, that afternoon, before the error and fraud were caught by a pharmacist and before the child and his family were notified, the child's symptoms appeared to resolve and the child walked comfortably for the first time in months. The child and adolescent psychiatry resident is tentatively titling the case report, ""Resolution of Conversion Disorder With a Megadose of Unknown Mood Stabilizer."""
35948918,2022,BMC musculoskeletal disorders,10.1186/s12891-022-05725-8,"Imaging-detected bone stress injuries at the Tokyo 2020 summer Olympics: epidemiology, injury onset, and competition withdrawal rate.","Prevention and early detection of injuries are essential in optimising sport participation and performance. The aim of this study is to investigate the epidemiology, athlete injury history, and competition withdrawal rate of imaging-detected bone stress injuries during the Tokyo 2020 Olympic Games. We collected and analysed imaging and clinical information in athletes with bone stress injuries diagnosed in the Olympic Village polyclinic during the Games. Two physicians independently and retrospectively reviewed all imaging examinations of bone stress injuries. A total of 11,315 individual athletes from 206 National Olympic Committees competed at the Games, during which 567 MRIs and 352 X-rays were performed at the Olympic Village polyclinic. Radiology examinations revealed four stress fractures and 38 stress reactions in 29 athletes (median age 24 years, range 18-35 years). Of these, 72% of athletes (n = 21) had symptoms before entering the Olympic Village. Bone stress injuries were most common in women (55%), the lower extremities (66%), and track and field athletes (45%). Six athletes (21%) did not start or did not finish their competitions. This study revealed 42 imaging-detected bone stress injuries in the polyclinic of the Tokyo 2020 Olympic Village. The high proportion of athletes with symptoms before entering the village and the high proportion of competition withdrawals suggests the usefulness of an early MRI examination."
33157996,2020,Medicine,10.1097/MD.0000000000023144,Sport disciplines and cardiac remodeling in elite university athletes competing in 2017 Taipei Summer Universiade.,"Cardiac remodeling is common in the athletes. Little data is available regarding the cardiac remodeling on the recently proposed 4 sport disciplines among the elite university athletes.A total of 7639 athletes participated in the 2017 Taipei Summer Universiade. Cardiac evaluation via history, ECG, and echocardiography were performed in 826 athletes who signed up for Check Up Your Heart. Athletes were grouped into one of 4 sport disciplines Skill, Power, Mixed, and Endurance.After excluding 66 participants with missing demographic data, 13 missing echocardiographic data, and 24 inadequate echocardiographic images, a total number of 723 university athletes (mean age 23 ± 3 years, 419 males) from 99 countries engaging in 25 different sporting events were analyzed. Electrocardiograms showed that Endurance group had a slower heart rate and higher percentage of left ventricular (LV) hypertrophy (39%). Echocardiograms showed there were significant differences in LV mass index (P < .001), LV geometry (P < .001), left atrial (LA) dilatation (P = .026), right ventricular (RV) dilatation (P < .001), right atrial (RA) dilatation (P < .0001), and tricuspid annular plane systolic excurse (P = .006). LV ejection fraction, LV strain, RV strain, and LV diastolic function showed no difference in 4 sport disciplines.Eccentric LV hypertrophy was the most common type of cardiac remodeling in the university athletes participated in 2017 Taipei Summer Universiade. Adaptive changes in chamber size were more commonly seen in Endurance sport. RA dilatation was the most sensitive to hemodynamic demand, followed by RV dilatation, LA dilatation, and LV dilatation."
39379864,2024,BMC pediatrics,10.1186/s12887-024-05115-0,Kawasaki disease before and during the COVID-19 pandemic: a single-center comparative study in Switzerland.,"Kawasaki disease is a rare systemic inflammatory syndrome that mainly affects children under five years of age and is the first cause of pediatric acquired cardiovascular disease. The pathogenesis is complex and a viral trigger is suspected, as well as genetic susceptibility. Multiple studies around the world have shown a decrease in the incidence of Kawasaki disease and have hypothesized that the different sanitary measures enforced in each country during the pandemic period could be responsible to a certain extent. The aim of this study is to evaluate the effects of the COVID-19 pandemic on the disease's incidence, defining characteristics, coronary artery outcomes and management in a tertiary center in Switzerland. This study is a retrospective analysis of children who have been diagnosed with Kawasaki disease that compares clinical, laboratory, SARS-CoV-2 exposure, and echocardiographic data as well as treatments before (January 1st 2017 to February 24th 2020) and during (February 25th 2020 to December 31st 2022) the COVID-19 pandemic in Switzerland. Statistical significance of differences in the compared parameters was assessed. Of the 90 patients included, 31 belonged to the first group and 59 belonged to the second group. There was a statistically significant (p < 0.05) increase in incidence during the pandemic period (5.91/100,000 children) of 88% compared to the pre-pandemic period (3.14/100,000 children). A lesser seasonal variation was observed during the pandemic. 30% of the patients in the pandemic group had an exposure to SARS-CoV-2. There was no other notable difference in demographic factors, clinical presentation, coronary outcome or administered treatment. To the best of our knowledge, this is the first prolonged European study comparing Kawasaki disease before and during the COVID-19 pandemic. There was a significant increase in incidence in Kawasaki disease during the COVID-19 pandemic. In contrast, studies done in Japan, South Korea and the USA have shown a decrease in incidence. Differences in methodologies, genetics, ethnicities, environments, microbiome-altering behaviors, sanitary measures and SARS-CoV-2 spread are factors that should be considered. Further studies analyzing the differences between countries with increased incidence of Kawasaki disease could help better understand the relevance of such factors and provide more insight into the etiologies of this particular disease."
16315118,2005,Seminars in musculoskeletal radiology,10.1055/s-2005-923380,MRI of snow skiing and snowboarding injuries.,"Snow skiing has been called ""the world's oldest sport,"" ""the fastest non-motorized sport on Earth,"" and ""the riskiest sport undertaken by adults on a routine basis."" This article discusses the common mechanisms for orthopedic injuries occurring in two of the most popular winter sports in the world that have a reputation for an inherently high risk of injury: alpine skiing and snowboarding. The emphasis herein is on magnetic resonance imaging of characteristic injuries in skiers (knee, thumb, shoulder) and in snowboarders (wrist, forearm, ankle). Spine injuries in snowboarders and skiers are also discussed."
33447378,2020,F1000Research,10.12688/f1000research.24544.1,A new virtue of phantom MRI data: explaining variance in human participant data.,"Background: Magnetic resonance imaging (MRI) is an important yet complex data acquisition technology for studying the brain. MRI signals can be affected by many factors and many sources of variance are often simply attributed to ""noise"". Unexplained variance in MRI data hinders the statistical power of MRI studies and affects their reproducibility. We hypothesized that it would be possible to use phantom data as a proxy of scanner characteristics with a simplistic model of seasonal variation to explain some variance in human MRI data. Methods: We used MRI data from human participants collected in several studies, as well as phantom data collected weekly for scanner quality assurance (QA) purposes. From phantom data we identified the variables most likely to explain variance in acquired data and assessed their statistical significance by using them to model signal-to-noise ratio (SNR), a fundamental MRI QA metric. We then included phantom data SNR in the models of morphometric measures obtained from human anatomical MRI data from the same scanner. Results: Phantom SNR and seasonal variation, after multiple comparisons correction, were statistically significant predictors of the volume of gray brain matter. However, a sweep over 16 other brain matter areas and types revealed no statistically significant predictors among phantom SNR or seasonal variables after multiple comparison correction. Conclusions: Seasonal variation and phantom SNR may be important factors to account for in MRI studies. Our results show weak support that seasonal variations are primarily caused by biological human factors instead of scanner performance variation. The phantom QA metric and scanning parameters are useful for more than just QA. Using QA metrics, scanning parameters, and seasonal variation data can help account for some variance in MRI studies, thus making them more powerful and reproducible."
32366339,2020,Cardiology in the young,10.1017/S1047951120000621,Aetiological evaluation of chest pain in childhood and adolescence.,"Chest pain, as a common cause of hospital admissions in childhood, necessitates detailed investigations due to a wide range of differential diagnoses. In this study, we aimed to determine the distribution of diseases causing chest pain in children and investigate the clinical characteristics of children with chest pain. This study included 782 patients aged between 3 and 18 years who presented to a paediatric cardiology outpatient clinic with chest pain between April 2017 and March 2018. Aetiological causes and demographic features of the patients were analysed. Most prevalent causes of chest pain were musculoskeletal system (33%) and psychogenic (28.4%) causes. Chest pain due to cardiac reasons was seen in eight patients (1%). Diseases of musculoskeletal and gastrointestinal systems and psychogenic disorders were significantly more common in male and female patients, respectively (p < 0.001 for all). In winter, patients' age and the number of patients with ≥12 years were higher than those in other seasons (p < 0.001). Most of the parents (70.8%) and patients (90.2%) thought that chest pain in their children was caused by cardiac causes. Most of the diagnoses for chest pain in childhood period are benign and include the musculoskeletal system and psychogenic diseases. Although chest pain due to cardiac diseases is rare, a comprehensive analysis of medical history, detailed physical examination and cardiac imaging with echocardiography is needed to reach more accurate diagnoses."
18373019,2008,"Revista brasileira de psiquiatria (Sao Paulo, Brazil : 1999)",10.1590/s1516-44462008000100010,Pituitary volume and the effects of phototherapy in patients with seasonal winter depression: a controlled study.,"Our aims were to investigate the pituitary volume in patients with seasonal winter depression and healthy volunteers in winter and summer, and to assess the effects of phototherapy in these patients. The pituitary volume of 12 patients with winter depression and 12 healthy controls, paired according gender, age and menstrual cycle, were obtained from magnetic resonance imaging in winter and summer. Eight patients were submitted to phototherapy (10000 vs. 2500 lux) in a double-blind crossover fashion during the winter, and reassessed (symptoms and magnetic resonance imaging) after treatment. There were no significant differences in pituitary volume between controls and patients in winter or summer. Exposure to phototherapy (10000 lux) decreased the depressive symptoms (p = 0.004), but the glandular volume did not change (p = 0.5). However, the pituitary volume in winter showed a positive correlation with the severity of depression in these patients (r = 0.69, p = 0.04). The results suggest that neither winter depression nor the change of seasons is associated with significant change in the pituitary volume. Despite the fact that this study was performed in a tropical area, phototherapy with 10000 lux showed to be an efficient treatment in this SAD patients sample."
37996873,2023,BMC health services research,10.1186/s12913-023-10284-2,Variations in wait times for imaging services: a register-based study of self-reported wait times for specific examinations in Norway.,"While the number of medical images has increased substantially, the demand has outpaced access, resulting in long wait times in many countries. Long wait times are a key problem for patient safety and quality of care as they can result in prolonged suffering, delayed diagnosis and treatment, as well as poorer prognosis and loss of lives. Surprisingly, little is known about wait times for imaging services. Investigate wait times for specific imaging services in Norway and to compare wait times with the total number of examinations and their development over time. Data from the wait time registry at the Norwegian Directorate of Health from 2018 to 2021 as well as data on outpatient imaging provided by the Norwegian Health Economics Administration (HELFO) and in-patient data afforded by fourteen hospital trusts and hospitals in Norway were analysed. Data include the total number of imaging examinations according to the Norwegian Classification of Radiological Procedures (NCRP). Analyses were performed with descriptive statistics. Wait times vary through the months of the year. Conventional X-ray (XR) had the shortest wait times (3.0-4.4 weeks), and Magnetic Resonance Imaging (MRI) and ultrasound (US) had the lengthiest (8.7-12.0 and 7.9-11.4 weeks respectively). The wait times were lengthiest during the summer and winter holidays. Variations in wait times were also found for specific examination types between Norway's four public health regions. In addition, there was variation over time within the health regions. The wait times with the private health providers were substantially lower than with the public health providers. From 2018 to 2021, the wait time for MRIs increased by 6.6%, while the number of examinations (per 10,000) increased by 8.6%. Those regions with the highest number of examinations per 1,000 inhabitants per year had the lowest wait times. Wait times for diagnostic imaging procedures varied with time, region, and modality in Norway from 2018 to 2021. Long wait times may entail many negative consequences for patients, professionals, and the healthcare system. Reducing long wait times is an obvious way to improve the quality, safety, and efficiency of care."
31150507,2019,PloS one,10.1371/journal.pone.0217856,"Performance and cardiac evaluation before and after a 3-week training camp for 400-meter sprinters - An observational, non-randomized study.","To study the performance and cardiovascular function after a 3-week training camp in athletes competing in an anaerobically dominant sport. Twenty-three competitive 400-m athletes were enrolled in this non-randomized study, 17 took part in a 3-week training camp in South-Africa (intervention), but one declined follow-up assessment, while 6 pursued in-door winter training in Sweden and served as controls. Electrocardiography, transthoracic echocardiography, blood test analyses, maximal exercise tolerance test, and a 300-m sprint test with lactate measurements ([La]peak) were performed before and after the training camp period. At baseline, there were no clinically significant pathological findings in any measurements. The training period resulted in improved 300m-sprint performance [n = 16; running time 36.71 (1.39) vs. 35.98 (1.13) s; p<0.01] and higher peak lactate values. Despite 48% more training sessions than performed on home ground (n = 6), myocardial biomarkers decreased significantly (NT-pro BNP -38%; p<0.05, troponin T -16%; p<0.05). Furthermore, resting heart rate (-7%; p<0.01) and left ventricular systolic and diastolic volumes decreased -6% (p<0.01) and -10% (p<0.05), respectively. Intense physical activity at training camp improved the performance level, likely due to improved anaerobic capacity indicated by higher [La]peak. There were no clinically significant adverse cardiac changes after this period of predominantly anaerobic training."
29556858,2018,Current pain and headache reports,10.1007/s11916-018-0684-6,Cyclic Vomiting Syndrome in Children.,"Cyclic vomiting syndrome (CVS) is a misrecognized and probably underdiagnosed episodic syndrome associated with migraine, occurring preferentially in childhood. Attacks are stereotyped for each individual, with predictable periodicity. This review summarizes recent clinical and paraclinical observations in this syndrome, and current approaches in explorations and therapeutics. Clinical phenotype during prodromal, vomiting, and recovery phases contains visceral and neuropsychological symptoms, but also cranial and systemic symptoms. Some clinical arguments as circadian or circannual periodicity suggest a chronobiological disease. Red flags in clinical presentation are proposed to distinguish other etiologies of recurrent gastrointestinal disturbances and guide paraclinical explorations. Functional magnetic resonance imaging in both CVS and migraine displayed diminished insular connectivity with the sensorimotor network, suggesting a common pathophysiology. Pathophysiology of CVS is not well defined, and there is probably a multifactorial origin. Distinction with other differential diagnoses is a challenge for clinicians. Further research, in particular with functional imaging, are required to define pathophysiology of CVS. Control trials are missing in pediatric population. Injectable or intranasal sumatriptan are often effective. For prophylaxis, amitriptyline, cyproheptadine, or propranolol are the most common treatments, depending on age and comorbidities. Non-pharmacologic measures as lifestyle modification also seem to be effective as preventive treatment."
37690160,2023,Psychiatry research. Neuroimaging,10.1016/j.pscychresns.2023.111714,Birth season and gross brain morphology associated with early neurodevelopment in schizophrenia spectrum patients and healthy subjects.,"This MRI study examined the effects of birth seasons on gross brain characteristics, such as the prevalence/size of midline brain structures (cavum septi pellucidi and adhesio interthalamica), orbitofrontal surface morphology, and insular gross anatomy, in 135 patients with schizophrenia, 47 with schizotypal disorder, and 88 healthy controls. Birth seasons only affected the insular anatomy. Summer-born subjects (N = 110) were characterized by more developed left insular gyri than winter-born subjects; however, this effect had no diagnostic specificity. The present results do not support birth seasons affecting the neurodevelopmental pathology of schizophrenia spectrum."
