pmid,title,abstract
23940424,The seasonal variation in hospitalizations due to chronic systolic heart failure correlates with blood sodium levels and cardiac function.,"Although seasonal variation in hospitalizations due to chronic heart failure is recognized, the possible contributors to such variability are less well documented. Records from all admissions to 12 hospitals in Hubei province, China, over a 10-year period with diagnostic codes for chronic systolic heart failure (CSHF) were reviewed. A total of 16,145 patients with CSHF were analyzed. There was a marked seasonal variation in the number of hospitalizations due to CSHF, with two peaks in the monthly rate of hospitalization due to CSHF occurring in December and August compared with the spring and autumn months. Monthly hospitalizations due to CSHF for patients with New York Heart Association class III and IV ranged from a peak of 40.4% and 23.3% above average in December and August, respectively, to 18.6% below average in November, while hospitalizations due to CSHF for patients with New York Heart Association class I and II exhibited no obvious seasonal variation. Blood sodium level (95% CI 2.132 to 2.144; P=0.036) was an independent risk factor for hospitalizations due to CSHF in August. The number of hospitalizations due to CSHF increased during the colder and warmer months in China. A low blood sodium level was associated with the peak in hospitalizations in August."
21538387,Seasonal variation in heart failure hospitalization.,"A seasonal variation has been reported for occurrence of acute cardiovascular events, such as myocardial infarction, sudden death, and rupture/dissection of aortic aneurysms. The aim of this study was to determine whether a seasonal variation exists for heart failure (HF) hospitalization. The study included all cases of HF admissions to Ferrara Hospital between January 2002 and December 2009. The sample was divided into subgroups by gender, age, cardiovascular risk factors, patients' outcome, and order of ICD-9 codes (first diagnosis, accessory diagnosis). On the basis of date of admission, cases have been analyzed for seasonal variation and annual frequency. For seasonal analysis, monthly cases were categorized into four 3-month intervals by seasons. Moreover, monthly admissions have been also adjusted for number of days, and the average number of admissions per month has been used. The database included 15,954 patients with the ICD-9-CM codes of HF (420-429). Hospital admissions for HF were most frequent in winter (28.4%) and least in summer (20.4%). Chronobiological analysis yielded a significant peak in January for total cases and all subgroups considered. No differences were found for subgroups by gender, age, fatal cases, presence of hypertension and diabetes mellitus, patients' outcome, and order of ICD-9 codes (first diagnosis, accessory diagnosis). A seasonal periodicity for HF hospitalization was demonstrated, with a peak in winter months, independent of gender, age, major cardiovascular risk factor, and patients' outcome. These data could be useful for practitioners to improve causative prevention measures, therapeutic management, and educational strategies."
10411853,Seasonal variation in chronic heart failure hospitalizations and mortality in France.,"Circannual variation in blood pressure and in the incidence of acute myocardial infarction is well known but has not been investigated in chronic heart failure. This report describes and compares the seasonal variation of chronic heart failure hospitalizations and mortality in the French population. All deaths that occurred among French adults over the period 1992 to 1996 (n=138 602) and all discharges by adults in French public hospitals for chronic heart failure over the period 1995 to 1997 (n=324 013) were examined retrospectively. First, chronic heart failure deaths in France occurred with a striking annual periodicity and peaked in winter (December through January), both in the overall population and in subgroups defined by age (>44 years old) and sex. The distribution of cumulative monthly deaths differed by nearly 35%, ranging from a peak of 20% above average in January to 15% below average in August (Roger's test: P<0.001). Second, hospitalizations for chronic heart failure in French public hospitals followed a similar seasonal pattern (P<0.001), with a winter-spring predominance (+7% to +10% from December through April). Third, for persons >/=85 years old, excess hospitalizations occurred earlier in the year, with marked synchronized peaks in January for both mortality and hospitalizations (P<0.001). Clear seasonal variations in adult chronic heart failure hospitalizations and deaths were identified. The considerable economic impact on health care services warrants further epidemiological investigations and a more comprehensive approach to disease management."
37666321,Investigating the seasonal variation of heart failure hospitalizations and in-hospital mortality risks in Japan using a nationwide database.,"Studies have reported seasonal variations in heart failure (HF) hospitalizations and mortality that are observed to peak in the winter, although many of these studies are from Europe or the USA. However, some studies on non-US patients have reported contrasting results. We aimed to determine whether seasonal variation exists in hospitalizations due to HF, investigate the risk of death during hospitalization, and examine possible contributors to such variability in Japan. This study was an exploratory analysis of our previous report, which included 269,636 hospitalizations due to HF between 2008 and 2018. The monthly hospitalization rate for HF was evaluated using a linear regression model with April as the reference month. The risk factors for in-hospital and monthly mortality were evaluated using the Cox proportional hazards model. The hospitalizations due to HF were significantly higher in the winter than in the summer. The peak admission rate occurred in January, and the lowest rate occurred in July. Based on April, changes in the number of hospitalizations per month were estimated using linear multiple regression analysis (adjusted R2 = 0.911). The risk of death during hospitalization was lowest in April and gradually increased from August to October (hazard ratio, 1.18-1.21). There was a significant seasonal variation in HF hospitalizations in Japan. Peak admission rates occurred in January. However, the risk of death during hospitalization was higher in August, September, and October than that in January."
41989308,Clinical Impact of Seasonal and Environmental Factors in Patients with Acute Heart Failure.,"Seasonal factors, particularly during winter, have been associated with worsened heart failure (HF). However, seasonal differences in clinical characteristics, clinical outcomes and environmental mechanisms remain unclear. We analyzed 2,857 patients hospitalized for HF. Patients were classified into four groups by season of admission: spring (March to May, n=788, 27.6%), summer (June to August, n= 699, 24.5%), fall (September to November, n=645, 22.6%) and winter (December to February, n =725, 25.4%). Baseline characteristics, clinical outcomes and environmental factors corresponding to the admission month-such as temperature, atmospheric pressure, relative humidity, sunshine duration, influenza activity and PM2.5 concentration-were compared among the groups. The winter group was older and more frequently had hypertension, diabetes, chronic kidney disease and thyroid disease. No seasonal differences were observed in sex, body mass index, HF etiology, other comorbidities, B-type natriuretic peptide levels, or left ventricular ejection fraction. Compared with the fall group, the winter group was associated with higher risk of in-hospital cardiac and all-cause mortality, 90-day cardiac and all-cause mortality (odds ratio 2.13, 1.85, 1.69, 2.01, 1.80, respectively, p<0.05). With respect to environmental factors, (1) lower temperature was associated with 90-day cardiac and all-cause mortality; (2) shorter sunshine duration was associated with 90-day all-cause mortality; and (3) higher PM2.5 concentrations were associated with in-hospital cardiac mortality. In contrast, atmospheric pressure, relative humidity, and influenza activity were not associated with clinical outcomes. Winter admission for HF was associated with older age, more comorbidities and higher in-hospital and short-term mortality, which may be partly explained by lower temperatures and shorter sunlight."
36076170,"Novel insights into the association between seasonal variations, blood pressure, and blood pressure variability in patients with new-onset essential hypertension.","Blood pressure (BP) exhibits seasonal variations, with peaks reported in winter. However, the association between seasonal variations and blood pressure variability in patients with new-onset essential hypertension is not fully understood. This study evaluated the potential association of seasonal variations with new-onset essential hypertension. This retrospective observational study recruited a total of 440 consecutive patients with new-onset essential hypertension who underwent 24-h ambulatory electrocardiograph (ECG) and BP measurement at our department between January 2019 and December 2019. Demographic and baseline clinical data including BP variability, heart rate variability, and blood tests were retrieved. Multivariate linear regression analysis was performed to identify factors independently associated with mean BP and BP variability. Among the 440 patients recruited, 93 cases were admitted in spring, 72 in summer, 151 in autumn, and 124 in winter. Univariate analysis revealed that systolic BP (SBP), diastolic BP (DBP), high-sensitivity C-reactive protein, SBP drop rate, DBP drop rate, 24-h standard deviation of SBP, 24-h standard deviation of DBP, 24-h SBP coefficient of variation, and 24-h DBP coefficient of variation were associated with patients admitted in winter (P < 0.05 for all). Multivariate linear regression analysis showed that winter was the influencing factor of 24-h standard deviation of SBP (B = 1.851, t = 3.719, P < 0.001), 24-h standard deviation of DBP (B = 1.176, t = 2.917, P = 0.004), 24-h SBP coefficient of variation (B = 0.015, t = 3.670, P < 0.001), and 24-h DBP coefficient of variation (B = 0.016, t = 2.849, P = 0.005) in hypertensive patients. Seasonal variations are closely associated with BP variability in patients with new-onset essential hypertension. Our study provides insight into the underlying pathogenesis of new-onset essential hypertension."
30409046,Seasonal variation of novel arterial stiffness indexes in Japanese hypertensive patients.,"Background and Objective: Seasonal variation of blood pressure (BP) is well known, and a relationship between increases in BP and the incidence of cardiovascular accidents (CVAs) in the winter has been reported. Parameters of arterial stiffness may exhibit seasonal variation; however, available data are currently limited. Novel arterial stiffness indexes, namely the arterial velocity pulse index (AVI) and arterial pressure-volume index (API), can be determined through usual maneuver for BP measurement during the regular examination in the outpatient clinic.The present study assessed the seasonal variation of AVI and API in 59 hypertensive patients undergoing stable treatment and regularly visiting our outpatient clinic over a period of 30 months. Methods: BP, pulse rate (PR), AVI, and API were measured using the AVE-1500 (Pasesa) in the sitting position. Six time frames of assessment were established. All measurements (average: 17.9 measurements per person) were sorted using these six time frames, and their averages were used for analysis. Results: Significant seasonal variations in PR (P < 0.001) and AVI (P < 0.001), along with weak variation in systolic BP (SBP) (P = 0.047) and marginal variation in API (P = 0.055), were confirmed by repeated analysis of variance. SBP, API, and PR were decreased, whereas AVI was increased in the summer. Coefficient variations were SBP 5.1%, PR 4.9%, AVI 12.6%, and API 10.6%. Conclusion: AVI was associated with reflected wave like as augmentation index. Thus, a high AVI may suggest increased central wave reflection. Although the significance of seasonal variation of AVI remains unknown, AVI may influence seasonal variations in the incidence of CVA."
35770661,Seasonal Variation in Day-by-Day Home Blood Pressure Variability and Effect on Cardiovascular Disease Incidence.,"Although day-by-day home blood pressure (BP) variability (BPV) has been associated with cardiovascular disease (CVD) risk, it remains unclear whether this association differs from season to season. The present study aimed to assess seasonal variation in day-by-day home BP variability and its association with CVD risk. We analyzed the data from a nationwide, prospective observational study, the J-HOP study (Japan Morning Surge-Home Blood Pressure), in which 14 consecutive days of home BP monitoring were conducted. The values of SD (SDsystolic BP [SBP]), coefficient of variationSBP, and average real variabilitySBP of home SBP were used as indices of day-by-day home BPV. Among 4231 participants (mean age, 64.9±10.9 years, 46.7% male, 91.5% hypertensives), all 3 day-by-day home BPV indices were lower in summer than winter after adjusting for confounding factors. In winter, SDSBP, coefficient of variationSBP, and average real variabilitySBP were significantly associated with increased risk of CVD events (coronary artery disease, stroke, heart failure, and aortic dissection; adjusted hazard ratio [95%CI] per 1-SD of SDSBP, 1.26 [1.02-1.54]; coefficient of variationSBP, 1.24 [1.02-1.52]; average real variabilitySBP, 1.44 [1.17-1.77]). These relationships were also observed in the analysis of quartiles of BPV parameters (adjusted hazard ratio [95%CI] compared to the first quartile, fourth quartile of SDSBP 2.26 [1.06-4.85]; coefficient of variationSBP 2.96 [1.43-6.15]; average real variabilitySBP 2.73 [1.25-5.93]). In other seasons, however, there were no significant associations between day-by-day home BPV and CVD event risk. Our findings indicate that day-by-day home BPV measured in winter is more strongly associated with future CVD incidence than that measured in other seasons."
31483570,Impact of environmental factors on heart failure decompensations.,"Heart failure (HF) is a clinical syndrome caused by a structural and/or functional cardiac abnormality, resulting in a reduced cardiac output and/or elevated intracardiac pressures at rest or during stress. This disease often causes decompensations, which may lead to hospital admissions, deteriorating patients' quality of life and causing an increment on the healthcare cost. Environmental exposure is an important but underappreciated risk factor contributing to the development and severity of cardiovascular diseases, such as HF. We used two different sets of data (January 2012 to August 2017): one related to the number of hospital admissions and the other one related to the environmental factors (weather and air quality). Admissions related data were grouped in weeks, and then two different studies were performed: (i) a univariate regression to determine whether the admissions may influence future hospitalizations prediction and (ii) a multivariate regression to determine the impact of environmental factors on admission rates. A total number of 8338 hospitalizations of 5343 different patients are available in this dataset, with a mean of 4.02 admissions per day. In European warm period (from June to October), there are significant less admissions than that in the cold period (from December to March), with a clear seasonality of admissions, because there is a similar pattern every year. Air temperature is the most significant environmental factor (r = -0.3794, P < 0.001) related to HF hospital admissions, showing an inversed correlation. Some other attributes, such as precipitation (r = 0.0795, P = 0.05), along with SO2 (precursor of acid rain) (r = 0.2692, P < 0.001) and NOX air (major air pollutant formed by combustion systems and motor vehicles) (r = 0.2196, P < 0.001) quality parameters, are also relevant. Humidity and PM10 parameters do not have significant correlations in this study (r = 0.0469 and r = -0.0485 respectively), neither relevant P-values (P = 0.238 and P = 0.324, respectively). Several environmental factors, such as weather temperature and precipitation, and major air pollutants, such as SO2 and NOX air, have an impact on the HF-related hospital admissions rate and, hence, on HF decompensations and patient's quality of life."
32579238,Circadian variation and seasonal distribution of implantable defibrillator detected new onset atrial fibrillation.,"We aimed to characterize the hourly, daily, and seasonally variations in the detection of new atrial fibrillation (AF) in heart failure patients implanted with a defibrillator. In 1309 patients enrolled in MADIT-RIT without AF at baseline, atrial arrhythmia data were analyzed from device interrogations. The circadian, weekly, and seasonal distribution of device detected AF was evaluated. The morning period was defined as 06:00-11:59, afternoon as 12:00-16:59, evening as 17:00-22:59, and the nighttime as 23:00-05:59. During 17 months of follow-up, 66 (5%) patients developed new device-detected AF. AF patients were less likely to have ischemic cardiomyopathy and were more likely to have received an implantable cardioverter defibrillator rather than a cardiac resynchronization therapy with defibrillator. The highest number of AF occurred during the evening hours (25 patients [38%]) followed by a second peak in AF detection during the afternoon hours (21 patients [32%]). Importantly during the nighttime, new AF occurred only in three patients (4%). In comparison with the nighttime period, the odds ratio (OR) of developing AF during the evening time period was 8.5-fold higher (95% CI 7.3-9.7, P < .01). Detection of AF during the spring and winter seasons accounted for 67% of all new device-detected AF. There is diurnal and seasonal variation in new onset AF. A double peak in the incidence of AF is observed during the afternoon and evening hours, and during the spring and winter seasons. This information may be useful when deciding when to screen at-risk patients for new AF."
1797411,"Circadian, weekly, and seasonal variations in cardiac mortality, blood pressure, and catecholamine excretion.","Time of occurrence of cardiac death due to arrhythmia, heart failure, or acute myocardial infarction was recorded in 86 elderly subjects, belonging to a group in whom circadian and circannual rhythms in blood pressure and urinary catecholamine excretion had been studied previously. All patients were retired, with no work responsibilities, and lived--closely-supervised in a home for the aged--on a routine that provided little differences between weekdays and weekends. Cardiac mortality showed a circadian variation, with a peak in the early morning hours, coinciding with the circadian peak in systolic and diastolic blood pressures. A weekly (circaseptan) variation in cardiac mortality was found, with the greatest number of patients dying on Mondays and the least on Thursdays. There were seasonal differences in cardiac mortality, with a peak in July and a broader peak during the cold season (December to February). The former coincides with the circannual peak in diastolic blood pressure, but is unrelated to the seasonal variation in norepinephrine excretion. Circadian, circaseptan, and circannual variations in cardiac mortality appear to be the expression of time-dependent, transient risk states for catastrophic cardiac events, which may lend themselves to preventive treatment."
29300764,Increased hospitalizations for decompensated heart failure and acute myocardial infarction during mild winters: A seven-year experience in the public health system of the largest city in Latin America.,"In high-income temperate countries, the number of hospitalizations for heart failure (HF) and acute myocardial infarction (AMI) increases during the winter. This finding has not been fully investigated in low- and middle-income countries with tropical and subtropical climates. We investigated the seasonality of hospitalizations for HF and AMI in Sao Paulo (Brazil), the largest city in Latin America. This was a retrospective study using data for 76,474 hospitalizations for HF and 54,561 hospitalizations for AMI obtained from public hospitals, from January 2008 to April 2015. The average number of hospitalizations for HF and AMI per month during winter was compared to each of the other seasons. The autoregressive integrated moving average (ARIMA) model was used to test the association between temperature and hospitalization rates. The highest average number of hospital admissions for HF and AMI per month occurred during winter, with an increase of up to 30% for HF and 16% for AMI when compared to summer, the season with lowest figures for both diseases (respectively, HF: 996 vs. 767 per month, p<0.001; and AMI: 678 vs. 586 per month, p<0.001). Monthly average temperatures were moderately lower during winter than other seasons and they were not associated with hospitalizations for HF and AMI. The winter season was associated with a greater number of hospitalizations for both HF and AMI. This increase was not associated with seasonal oscillations in temperature, which were modest. Our study suggests that the prevention of cardiovascular disease decompensation should be emphasized during winter even in low to middle-income countries with tropical and subtropical climates."
25421314,Clinical scenario 1 is associated with winter onset of acute heart failure.,"Several reports have evaluated the association between seasonal variation and acute heart failure (AHF) onset. Cold weather may induce AHF, but the clinical characteristics of patients susceptible to AHF during winter have not been established. Clinical Scenario (CS) is used in the early clinical management of AHF, so we investigated the relationship between CS classification and winter onset of AHF in Japan. We enrolled 582 patients hospitalized for AHF and compared the frequency of AHF among the 4 seasons in each CS group to clarify the clinical characteristics of the winter onset group. Significant increase of AHF during winter was seen in CS1 (systolic blood pressure [SBP] (>140 mmHg) (P=0.01) but not in CS2 (SBP ≥ 100 and ≤ 140 mmHg) or CS3 (SBP <100 mmHg). CS1 patients were divided into winter and other season admission groups. In multivariate analysis, only lack of loop diuretic use was associated with winter admission of CS1 patients (odds ratio 0.562, 95% confidence interval: 0.256-0.798, P=0.006). Winter predominance of AHF was seen only in CS1, and lack of loop diuretic use was a risk factor for winter onset. Future studies are necessary to confirm whether loop diuretics are useful in preventing AHF with CS1 in winter."
